        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4289.52770 0.0005       0.0005    1    1    0    0    0    0    6    4   s  E'   93    0    0    0    0    0    0    6    4   a  E"    2 21CeCaCo.133
4289.55680 0.0005       0.0005    1    2    0    0    0    0    6    4   a  E"  177    0    1    0    0    0    0    6    4   s  E'    6 21CeCaCo.134
4289.67130 0.0005       0.0005    1    1    0    0    0    0    7    2   s  E'  111    0    0    0    0    0    0    7    2   a  E"    4 21CeCaCo.135
4289.92680 0.0005       0.0005    1    1    0    0    0    0    7    1   s  E"  110    0    0    0    0    0    0    7    1   a  E'    5 21CeCaCo.136
4290.15130 0.0006       0.0006    0    1    1    0    1    0   10   10   a  E"  138    0    0    0    0    0    0   11   11   a  E'    1 21CeCaCo.137
4290.15670 0.0005       0.0005    1    1    0    0    0    0    6    3   s A2"   52    0    0    0    0    0    0    6    3   a A2'    2 21CeCaCo.138
4290.22360 0.0005       0.0005    0    2    1    0    1    0    7    7   s A2"   81    0    1    0    0    0    0    6    6   s A2'    3 21CeCaCo.139
4290.28650 0.0005       0.0005    1    1    0    0    0    0    5    4   s  E'   79    0    0    0    0    0    0    5    4   a  E"    2 21CeCaCo.140
4290.33730 0.0005       0.0005    0    1    1    0    1    0    6    0   a  E"  105    0    0    0    0    0    0    7    1   a  E'    5 21CeCaCo.141
4290.36270 0.0005       0.0005    0    1    0    2    0    0    8    3   a A2'   54    0    0    0    0    0    0    8    6   a A2"    1 21CeCaCo.142
4290.47660 0.0005       0.0005    0    1    1    0    1    0    5    3   a  E'   84    0    0    0    0    0    0    6    2   a  E"    3 21CeCaCo.143
4290.48060 0.0005       0.0005    0    2    1    0    1    0    4    1   s A2"   66    0    1    0    0    0    0    3    0   s A2'    3 21CeCaCo.144
4290.59430 0.0006       0.0006    1    1    0    0    0    0    6    2   s  E'   94    0    0    0    0    0    0    6    2   a  E"    3 21CeCaCo.145
4290.61650 0.0005       0.0005    0    1    1    0    1    0   10    9   s  E"  144    0    0    0    0    0    0   10    7   a  E'    3 21CeCaCo.146
4290.76590 0.0005       0.0005    0    1    0    2    0    2    6    4   a  E"   86    0    0    0    0    0    0    5    2   s  E'    3 21CeCaCo.147
4290.85300 0.0005       0.0005    1    1    0    0    0    0    6    1   s  E"   93    0    0    0    0    0    0    6    1   a  E'    4 21CeCaCo.148
4290.90420 0.0005       0.0005    1    1    0    0    0    0    4    4   s  E'   64    0    0    0    0    0    0    4    4   a  E"    1 21CeCaCo.149
4290.93970 0.0005       0.0005    1    1    0    0    0    0    5    3   s A2"   35    0    0    0    0    0    0    5    3   a A2'    1 21CeCaCo.150
4291.12830 0.0005       0.0005    1    2    0    0    0    0    9    8   a  E"  235    0    1    0    0    0    0    9    8   s  E'    7 21CeCaCo.151
4291.15920 0.0005       0.0005    0    1    0    2    0    0   10    4   s  E'  142    0    0    0    0    0    0   10    7   s  E"    3 21CeCaCo.152
4291.19110 0.0005       0.0005    0    1    0    2    0    0    5    1   s  E"   73    0    0    0    0    0    0    4    4   s  E'    1 21CeCaCo.153
4291.21470 0.0007       0.0007    0    2    1    0    1    0    3    2   a  E"   99    0    1    0    0    0    0    4    1   a  E'    6 21CeCaCo.154
4291.34400 0.0005       0.0005    0    3    1    0    1    0    2    1   s A2"   47    0    2    0    0    0    0    1    0   s A2'    3 21CeCaCo.155
4291.39070 0.0005       0.0005    1    1    0    0    0    0    5    2   s  E'   80    0    0    0    0    0    0    5    2   a  E"    3 21CeCaCo.156
4291.58380 0.0005       0.0005    1    1    0    0    0    0    4    3   s A2"   36    0    0    0    0    0    0    4    3   a A2'    1 21CeCaCo.157
4291.65620 0.0005       0.0005    1    1    0    0    0    0    5    1   s  E"   81    0    0    0    0    0    0    5    1   a  E'    4 21CeCaCo.158
4291.71370 0.0005       0.0005    0    1    1    0    1    0    6    2   s A2'   47    0    0    0    0    0    0    7    3   s A2"    2 21CeCaCo.159
4291.85700 0.0010       0.0010    0    1    1    0    1    0    9    9   s  E"  128    0    0    0    0    0    0    9    7   a  E'    2 21CeCaCo.160
