        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9652.63740  0.01  0.01     2     0     0     2    0    2   4   0  a    E"  802     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.354
9567.79412  0.01  0.01     2     0     0     2    0    2   5   5  s   A2"  464     0     0     0     0    0    0   6   6  s   A2'    1 17BaPoYuTe.248
9734.43060  0.01  0.01     1     0     1     2    1    2   3   1  s   A2"  311     0     0     0     0    0    0   3   0  s   A2'    2  17BaPoYuTe.19
9569.53711  0.01  0.01     2     0     0     2    0    2   5   5  a   A2'  496     0     0     0     0    0    0   6   6  a   A2"    1 17BaPoYuTe.380
9670.15524  0.01  0.01     2     0     1     0    1    0   4   3  s    E"  805     0     0     0     0    0    0   4   2  s    E'    2 17BaPoYuTe.470
9670.26154  0.01  0.01     1     0     1     2    1    2   3   1  s    E"  659     0     0     0     0    0    0   4   2  s    E'    2  17BaPoYuTe.14
9749.67204  0.01  0.01     1     0     1     2    1    2   3   1  s    E"  659     0     0     0     0    0    0   3   2  s    E'    1  17BaPoYuTe.16
9656.95829  0.01  0.01     1     0     1     2    1    2   3   1  a   A2'  348     0     0     0     0    0    0   4   0  a   A2"    2 17BaPoYuTe.118
9795.84157  0.01  0.01     1     0     1     2    1    2   3   1  a   A2'  348     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.131
9673.12973  0.01  0.01     2     0     1     0    1    0   4   3  a    E'  815     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.561
9743.61676  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  662     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.132
9808.12952  0.01  0.01     1     0     1     2    1    2   3   0  s    E'  654     0     0     0     0    0    0   2   1  s    E"    2  17BaPoYuTe.17
9669.16674  0.01  0.01     1     0     1     2    1    2   3   0  s    E'  654     0     0     0     0    0    0   4   1  s    E"    3  17BaPoYuTe.13
9662.07217  0.01  0.01     1     0     1     2    1    2   4   4  s    E'  818     0     0     0     0    0    0   5   5  s    E"    1  17BaPoYuTe.31
9485.27983  0.01  0.01     2     0     0     2    0    2   5   4  a   A2"  466     0     0     0     0    0    0   6   3  a   A2'    2 17BaPoYuTe.364
9604.03118  0.01  0.01     2     0     0     2    0    2   5   4  a   A2"  466     0     0     0     0    0    0   5   3  a   A2'    1 17BaPoYuTe.368
9704.58191  0.01  0.01     2     0     0     2    0    2   5   4  s   A2'  498     0     0     0     0    0    0   4   3  s   A2"    1 17BaPoYuTe.260
9605.40228  0.01  0.01     2     0     0     2    0    2   5   4  s   A2'  498     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.257
9665.88995  0.01  0.01     1     0     1     2    1    2   4   4  a    E"  810     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.144
9760.32760  0.01  0.01     2     0     1     0    1    0   4   2  s    E'  822     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.468
9790.85638  0.01  0.01     1     0     1     2    1    2   4   4  s   A2'  390     0     0     0     0    0    0   3   3  s   A2"    1  17BaPoYuTe.28
9613.63075  0.01  0.01     2     0     1     0    1    0   4   2  s   A2'  391     0     0     0     0    0    0   5   3  s   A2"    1 17BaPoYuTe.469
9712.23818  0.01  0.01     1     0     1     2    1    2   4   4  a   A2"  425     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.140
